"lexicon_key","type","synonyms",
"t8","model","T8,DEEBOT T8,DEEBOT OZMO T8,DEEBOT T 8,OZMO T8",
"t8_pro","model","DEEBOT T8 PRO,T8 PRO,DEEBOT T8PRO,T8PRO,T8 Pro,OZMO T8 PRO",
"t8_max","model","T8 MAX,T8MAX,DEEBOT T8MAX,OZMO T8 MAX,DEEBOT T8 MAX,T8 Max",
"t8_aivi","model","T8AIVI,OZMO T8 AIVI,DEEBOT OZMO T8 AIVI,T8 AIVI,DEEBOT T8AIVI,DEEBOT T8 AIVI",
"t8_aivi_plus","model","OZMO T8 AIVI+,T8 AIVI+,T8 AIVI PLUS,T8AIVI+,DEEBOT OZMO T8 AIVI+,DEEBOT T8AIVI+",
"t8_plus","model","DEEBOT OZMO T8 PLUS,DEEBOT T8+,T8+,DEEBOT T8PLUS,OZMO T8+,T8 PLUS,DEEBOT OZMO T8+,T8PLUS",
"t9","model","T9,T 9,DEEBOT T 9,DEEBOT T9",
"t9_power","model","T9 POWER,T9POWER,DEEBOT T9POWER,T9 Power,DEEBOT T9 POWER",
"t9_max","model","T9 MAX,T9MAX,DEEBOT T9 MAX,DEEBOT T9MAX,T9 Max",
"t9_aivi","model","DEEBOT T9 AIVI,T9 AIVI,T9AIVI,DEEBOT T9AIVI,T9 Aivi",
"t9_plus","model","DEEBOT T9PLUS,T9 Plus,T9 PLUS,DEEBOT T9 PLUS,DEEBOT T9+,T9+,T9PLUS",
"t10s_omni","model","T10SOMNI,DEEBOT T10SOMNI,T10S Omni,DEEBOT T10S OMNI,T10S OMNI",
"t10_pro","model","DEEBOT T10PRO,T10 Pro,T10 PRO,T10PRO,DEEBOT T10 PRO",
"t10_turbo","model","T10 TURBO,T10TURBO,T10 Turbo,DEEBOT T10 TURBO,DEEBOT T10TURBO",
"t10_plus","model","T10 PLUS,T10PLUS,DEEBOT T10PLUS,DEEBOT T10 PLUS,T10 Plus,T10+",
"t10_omni","model","DEEBOT T10 OMNI,T10,T10OMNI,T10 Omni,T10 OMNI,DEEBOT T10OMNI",
"t20s_pro","model","DEEBOT T20SPRO,T20S PRO,DEEBOT T20S PRO,T20SPRO,T20S Pro",
"t20e_omni","model","T20E OMNI,DEEBOT T20EOMNI,DEEBOT T20E OMNI,T20E Omni,T20e OMNI,T20EOMNI",
"t20_plus","model","DEEBOT T20PLUS,T20PLUS,DEEBOT T20 PLUS,T20 PLUS,T20 Plus,T20+",
"t20_max","model","T20MAX,DEEBOT T20MAX,DEEBOT T20 MAX,T20 Max,T20 MAX",
"t20_pro","model","DEEBOT T20PRO,T20 PRO,T20 Pro,DEEBOT T20 PRO,T20PRO",
"t20_omni","model","DEEBOT T20 OMNI,T20 OMNI,T20OMNI,T20 Omni,DEEBOT T20OMNI,T20",
"t30c","model","DEEBOT T30C,T30C,DEEBOT T30 C,T30 C",
"t30c_pro","model","T30C Pro,T30C PRO,DEEBOT T30C PRO,DEEBOT T30CPRO,T30CPRO",
"t30s","model","T30S,DEEBOT T30S,T30 S,DEEBOT T30 S,DEEBOT T30S BLACK",
"t30s_combo_complete","model","T30S COMBO COMPLETE,T30SCOMBO COMPLETE,DEEBOT T30SCOMBO COMPLETE,DEEBOT T30S COMBO COMPLETE,T30S Combo Complete",
"t30s_combo","model","DEEBOT T30S COMBO,T30S COMBO,T30SCOMBO,DEEBOT T30SCOMBO,T30S Combo,T30S COMBO BLACK",
"t30s_ai","model","T30S AI,T30S Ai,DEEBOT T30S AI,T30SAI,DEEBOT T30SAI",
"t30s_pro","model","DEEBOT T30SPRO,DEEBOT T30S PRO,T30S Pro,T30S PRO,T30SPRO",
"t30_omni","model","T30 OMNI,T30OMNI,DEEBOT T30OMNI,T30,T30 Omni,DEEBOT T30 OMNI",
"t30_omni_black","model","DEEBOT T30 OMNI BLACK,DEEBOT T30OMNI BLACK,T30 Omni Black,T30 OMNI BLACK,T30OMNI BLACK",
"t30_omni_white","model","T30OMNI WHITE,T30 OMNI WHITE,T30 Omni White,DEEBOT T30 OMNI WHITE,DEEBOT T30OMNI WHITE",
"t30_pro_omni","model","DDX14-12EE,DEEBOT T30 PRO OMNI,T30 PRO OMNI,T30 Pro Omni,DEEBOT T30PRO OMNI,T30PRO OMNI,ディーボットT30 プロ オムニ",
"t30_pro_omni_red","model","T30 PRO OMNI 雪山红盐,DEEBOT T30 PRO OMNI HIMALAYAN SALT RED,T30 PRO OMNI Himalayan Salt Red,T30PRO OMNI RED",
"t30_pro_omni_silver","model","T30 PRO OMNI Moonlight Silver,DEEBOT T30 PRO OMNI MOONLIGHT SILVER,T30PRO OMNI SILVER,T30 PRO OMNI 皓月银",
"t30_pro_omni_black","model","T30PRO OMNI BLACK,T30 PRO OMNI BLACK,T30 Pro Omni Black,DEEBOT T30PRO OMNI BLACK,DEEBOT T30 PRO OMNI BLACK",
"t30_pro_omni_white","model","T30PRO OMNI WHITE,T30 PRO OMNI WHITE,T30 Pro Omni White,DEEBOT T30PRO OMNI WHITE,DEEBOT T30 PRO OMNI WHITE",
"t50_mini","model","T50MINI,地宝mini,T50 Mini,T50 mini,DEEBOT T50 mini,DEEBOT T50MINI,DEEBOT mini",
"t50_omni","model","T50 Omni,DEEBOT T50 OMNI,T50,T50 OMNI,DEEBOT T50OMNI,T50OMNI",
"t50_pro_omni","model","DEEBOT T50PRO OMNI,T50 PRO OMNI,T50PRO OMNI,DDX67-12EE,ディーボットT50 プロ オムニ,DEEBOT T50 PRO OMNI,T50 Pro Omni",
"t50_max_pro_omni","model","DEEBOT T50 MAX PRO OMNI,T50 Max Pro Omni,T50 MAX PRO OMNI,T50MAX PRO OMNI,DEEBOT T50MAX PRO OMNI",
"t80s","model","地宝T80S,T80S,T80 S,DEEBOT T80S,DEEBOT T80 S",
"t80_omni","model","T80OMNI,DEEBOT T80OMNI,DEEBOT T80 OMNI,T80,T80 Omni,T80 OMNI",
"mate_x","model","地宝MATE X,Mate X,DEEBOT MATE X,MATE X,MATEX,DEEBOT MATEX",
"x1s_pro_plus","model","X1S Pro Plus,X1SPRO PLUS,DEEBOT X1S PRO PLUS,DEEBOT X1SPRO PLUS,地宝X1S PRO PLUS,X1S PRO PLUS",
"x1s_pro","model","DEEBOT X1SPRO,X1S PRO,X1SPRO,X1S Pro,地宝X1S PRO,DEEBOT X1S PRO",
"x1_pro_omni","model","X1PRO OMNI,DEEBOT X1PRO OMNI,DEEBOT X1 PRO OMNI,X1 PRO OMNI,X1 Pro Omni,地宝X1 PRO OMNI",
"x1e_omni","model","X1E OMNI,X1EOMNI,DEEBOT X1EOMNI,X1E Omni,DEEBOT X1E OMNI",
"x1_plus","model","DEEBOT X1 PLUS,X1 PLUS,X1PLUS,DEEBOT X1PLUS,X1 Plus,X1+",
"x1_turbo","model","X1 TURBO,DEEBOT X1 TURBO,DEEBOT X1TURBO,X1TURBO,X1 Turbo",
"x1_omni","model","X1,DEEBOT X1OMNI,X1 OMNI,DEEBOT X1 OMNI,X1OMNI,X1 Omni",
"x1_omni_white","model","DEEBOT X1OMNI WHITE,X1 Omni White,DEEBOT X1 OMNI WHITE,X1 OMNI WHITE,X1OMNI WHITE",
"x1_omni_black","model","DEEBOT X1 OMNI BLACK,DEEBOT X1OMNI BLACK,X1OMNI BLACK,X1 Omni Black,X1 OMNI BLACK",
"x2_pro","model","DEEBOT X2PRO,X2 Pro,X2 PRO,DEEBOT X2 PRO,地宝X2 PRO,X2PRO",
"x2_combo_power_brush","model","X2 COMBO Power Brush Kit,DEEBOT X2 COMBO Power Brush Kit,X2COMBO Power Brush,X2 COMBO POWER BRUSH",
"x2_combo_complete","model","DEEBOT X2COMBO COMPLETE,X2 COMBO COMPLETE,X2 Combo Complete,DEEBOT X2 COMBO COMPLETE,X2COMBO COMPLETE",
"x2_combo","model","X2 COMBO,X2 Combo,DEEBOT X2 OMNI COMBO,X2COMBO,DEEBOT X2COMBO,DEEBOT X2 COMBO",
"x2_omni","model","DEEBOT X2 OMNI,X2 OMNI,X2 Omni,DEEBOT X2OMNI,X2,X2OMNI",
"x2_omni_white","model","DEEBOT X2OMNI WHITE,DEEBOT X2 OMNI WHITE,X2OMNI WHITE,X2 OMNI WHITE,X2 Omni White",
"x2_omni_black","model","ディーボットX2 オムニ,X2 Omni Black,DEEBOT X2OMNI BLACK,X2OMNI BLACK,DEEBOT X2 OMNI BLACK,DEX86,X2 OMNI BLACK",
"x5_pro_ultra_white","model","DEEBOT X5 PRO ULTRA WHITE,X5PRO ULTRA WHITE,X5 Pro Ultra White,地宝X5 PRO ULTRA白,X5 PRO ULTRA WHITE",
"x5_pro_plus","model","DEEBOT X5 PRO PLUS,X5PRO PLUS,DEEBOT X5PRO PLUS,X5 Pro Plus,地宝X5 PRO PLUS,X5 PRO PLUS",
"x5_omni","model","X5OMNI,DEEBOT X5OMNI,DEEBOT X5 OMNI,X5 OMNI,Deebot X5 Omni,X5,X5 Omni",
"x5_omni_black","model","X5 OMNI BLACK,X5OMNI BLACK,DEEBOT X5 OMNI BLACK,X5 Omni Black,DEEBOT X5OMNI BLACK,Deebot X5 Omni Black",
"x5_pro_omni","model","地宝X5 PRO OMNI,X5 Pro Omni,X5 PRO,X5 PRO OMNI,DEEBOT X5 PRO,X5PRO OMNI,DEEBOT X5PRO OMNI,DEEBOT X5 PRO OMNI",
"x8_omni","model","X8OMNI,X8 Omni,DEEBOT X8OMNI,DEEBOT X8 OMNI,X8 OMNI",
"x8_pro_omni","model","X8PRO OMNI,X8 PRO,X8 PRO OMNI,DEEBOT X8PRO OMNI,X8 Pro Omni,DEEBOT X8 PRO OMNI",
"x8_pro_omni_white","model","X8PRO OMNI WHITE,DEEBOT X8 PRO OMNI WHITE,X8 PRO OMNI WHITE,X8 Pro Omni White,X8 PRO OMNI 화이트,DEEBOT X8PRO OMNI WHITE,에코백스 X8 프로 옴니 화이트",
"x8_pro_omni_black","model","ディーボットX8 プロ オムニ,DEEBOT X8 PRO OMNI BLACK,DEEBOT X8PRO OMNI BLACK,X8 PRO OMNI BLACK,X8PRO OMNI BLACK,DEX56-14EE,X8 Pro Omni Black",
"x9_pro_omni","model","X9 PRO OMNI,X9PRO OMNI,DEEBOT X9PRO OMNI,X9 Pro Omni,DEEBOT X9 PRO OMNI,DEEBOT X9 PRO",
"x11_pro_omni","model","DEEBOT X11PRO OMNI,DEEBOT X11 PRO OMNI,X11 PRO OMNI,X11PRO OMNI,X11 Pro Omni,地宝X11 PRO OMNI",
"x11_pro","model","X11PRO,DEEBOT X11PRO,地宝X11 PRO,X11 Pro,DEEBOT X11 PRO,X11 PRO",
"x11_omnicyclone","model","X11 OMNICYCLONE,X11 OMNI CYCLONE,地宝X11,DEEBOT X11 OmniCyclone,X11OMNICYCLONE,DEX99-10EE,ディーボットX11 オムニサイクロン,DEEBOT X11 OMNICYCLONE,X11 OmniCyclone",
"goat_o_family","family","O Series,O系列,GOAT O Family,O Family",
"goat_a_family","family","A Series,A系列,A Family,GOAT A Family",
"goat_g_family","family","G系列,G Family,GOAT G Family,G Series",
"w1_family","family","W1 Series,W1系列,W1 Family,WINBOT W1 Family,窗宝W1系列",
"w2_family","family","W2 Family,窗宝W2系列,W2 Series,W2系列,WINBOT W2 Family",
"neo_family","family","NEO 系列,NEO Series,NEO family,DEEBOT NEO Series",
"d_family","family","D Series,D family,D 系列,DEEBOT D Series,D-Series",
"slim_family","family","DEEBOT SLIM Series,SLIM Series,SLIM family,SLIM 系列",
"u_family","family","DEEBOT U Series,U Series,U-Series,U family,U 系列",
"r_family","family","DEEBOT R Series,R 系列,R Series,R family,R-Series",
"m_family","family","M Series,DEEBOT M Series,M family,M 系列,M-Series",
"ozmo_family","family","OZMO 系列,OZMO Series,DEEBOT OZMO Series,OZMO family",
"n_family","family","N-Series,N family,N 系列,地宝N系列,DEEBOT N Series,N Series",
"t_family","family","T family,T 系列,地宝T系列,T-Series,DEEBOT T Series,T Series",
"x_family","family","X family,DEEBOT X Series,X-Series,地宝X系列,X 系列,X Series",
"tineco","line","TEK,Tek,Tineco,TINECO,tek",
"airbot","line","AIR BOT,Qìnbǎo,qinbao,AIRBOT,ATMOBOT,atmobot,Atmobot,沁宝,air bot,Air Bot,Airbot",
"goat","line","G.O.A.T.,Goat,GOAT,G.O.A.T",
"winbot","line","WIN BOT,Win Bot,win bot,WINBOT,Chuāngbǎo,窗宝,chuangbao,Winbot",
"deebot","line","dee bot,DEE BOT,dibao,ディーボット,Dībotto,Dee Bot,Deebot,DEEBOT,地宝,Dìbǎo",
"commercial_m1","model","DEEBOT PRO M1,PRO M1,PROM1,Commercial M1",
"commercial_k1","model","PRO K1,Commercial K1,DEEBOT PRO K1,PROK1",
"famibot","model","Famibot,Fami Bot,FAMIBOT,FAMI BOT",
"unibot","model","UNI BOT,Uni Bot,UNIBOT,Unibot",
"benebot","model","BENEBOT,Bene Bot,BENE BOT,Benebot",
"accessory_kit","accessory","Cleaning Kit,X8 PRO Kit,Accessory Kit,X9 PRO Kit,T80 Kit,T50 Kit",
"air_freshener","accessory","Air Freshener,Air Freshener Capsules,T9 Capsules,X1 Capsules,FM2023",
"remote_control","accessory","RC1507,Remote Control,RC1633,Remote",
"boundary_strip","accessory","Boundary Strip,DMS01,D-MS01,Magnetic Boundary,Virtual Boundary",
"winbot_solution","accessory","WSO01-1007,WINBOT Solution,W-SO01-1007,Window Cleaning Solution",
"cleaning_solution","accessory","DEEBOT Solution,D-SO01-1007,Cleaning Solution,DSO01-1007,Floor Cleaner",
"charging_dock","accessory","X1 PLUS Charging Dock,T10 PLUS Charging Dock,Charging Dock",
"battery","accessory","Li-ion Battery,Battery,14.8V Battery,14.4V Battery",
"mopping_pad","accessory","Disposable Pads,D-CC3I,Mopping Pad,D-MM25,D-DM25U2,Washable Pads",
"filter","accessory","Filter,T Series Filters,X Series Filters,HEPA Filters,HEPA Filter,N Series Filters",
"side_brush","accessory","X1 Side Brushes,Side Brush,White Side Brush,Black Side Brush",
"main_brush","accessory","Main Brush,Brush Motor Module,Main Brush Motor,DX5G-KTA,DX5GKTA",
"ozmo_pro_system","accessory","D-OP01,DOP01,OZMO PRO,OZMO Pro 2.0,OZMO Pro,OZMO Pro Mopping System",
"dust_bag","accessory","D-DB03,DDB03,T10 Dust Bags,T20 Dust Bags,Dust Bag,Dust Bags,X1 Dust Bags",
"auto_empty_station","accessory","Auto-Empty Station,CH1918,D-AS01,PureCyclone Station,Auto-Empty Station for X1/T10/T20,Auto Empty Station",
"tineco_ifloor_3_ultra","model","TINECO iFloor 3 Ultra,iFLOOR3 ULTRA,TINECO iFLOOR3ULTRA,iFloor 3 Ultra",
"tineco_floor_one_s3","model","Floor One S3,TINECO FLOOR ONE S3,FLOOR ONE S3,FLOORONE S3",
"tineco_floor_one_s5_combo","model","Floor One S5 Combo,FLOOR ONE S5 COMBO,FLOORONE S5 COMBO,TINECO FLOOR ONE S5 COMBO",
"tineco_floor_one_s7_pro","model","FLOOR ONE S7 PRO,TINECO FLOOR ONE S7 PRO,FLOORONE S7 PRO,Floor One S7 Pro",
"tineco_s12","model","S12,TINECO S12,TINECO S 12,S 12",
"tineco_a11_pet","model","A11 PET,A11PET,TINECO A11PET,A11 Pet,TINECO A11 PET",
"tineco_pure_one","model","Pure One,PURE ONE,TINECO PURE ONE,PUREONE,TINECO PUREONE",
"atmobot_5","model","ATMOBOT5,ATMOBOT 5,ATMOBOT 5 Series,沁宝5",
"atmobot_a330","model","A330,ATMOBOT A330,沁宝A330,ATMOBOT A 330",
"aaron","accessory","AARON,AARON Monitor,Air Quality Monitor,AARON Air Quality Monitor",
"airbot_ava","model","AIRBOT AVA,Air Bot Ava,AVA",
"airbot_andy_pro","model","ANDYPRO,AIRBOT ANDYPRO,Andy Pro,AIRBOT ANDY PRO,ANDY PRO",
"airbot_z2","model","Z2,沁宝Z2,AIR BOT Z2,AIRBOT Z2,AIRBOT Z 2",
"airbot_z1","model","AIRBOT Z1,AIRBOT Z 1,Z1,沁宝Z1,AIR BOT Z1",
"goat_garage","accessory","GARAGE PRO,GARAGE,GOAT GARAGE,G1 GARAGE",
"goat_o500_panorama","model","GOAT O500 Panorama,GOAT O500PANORAMA,O500 Panorama,O500PANORAMA,O500,GOAT O500",
"goat_o800_rtk","model","GOAT O800 RTK,GOAT O800RTK,O800,O800RTK,GOAT O800,O800 RTK",
"goat_o1000_rtk","model","GOAT O1000,GOAT O1000RTK,GOAT O1000 RTK,O1000 RTK,O1000RTK,O1000",
"goat_o1200_rtk","model","O1200 RTK,O1200RTK,GOAT O1200 RTK,GOAT O1200RTK,O1200,GOAT O1200",
"goat_a1600_rtk","model","A1600 RTK,A1600RTK,GOAT A1600 RTK,GOAT A1600RTK,A1600,GOAT A1600",
"goat_a2500_rtk","model","GOAT A2500RTK,A2500,GOAT A2500,A2500RTK,A2500 RTK,GOAT A2500 RTK",
"goat_a3000_lidar","model","A3000 LiDAR,GOAT A3000 LiDAR,GOAT A3000LIDAR,A3000,GOAT A3000,A3000LIDAR",
"goat_gx600","model","GOAT GX 600,GX600,GX-600,GOAT GX-600,GOAT GX600",
"goat_g1","model","G1-800,G1-800 GREY,GOAT G1-2000,GOAT G1,G1-2000,G1,GOAT G1-800 GREY,GOAT G 1,GOAT G1-800",
"winbot_710","model","WINBOT 710,WINBOT710,W710",
"winbot_730","model","WINBOT 730,W730,WINBOT730,730",
"winbot_830","model","WINBOT 830,830,WINBOT830",
"winbot_850","model","WINBOT 850,850,WINBOT850",
"winbot_880","model","880,WINBOT 880,WINBOT880",
"winbot_920","model","WINBOT920,WINBOT 920,920",
"winbot_930","model","WINBOT930,WINBOT 930",
"winbot_950","model","950,WINBOT 950,WINBOT950",
"winbot_x","model","WINBOT X,X,X WA30,WINBOT X WA30,WINBOT X WA50,X WA50",
"winbot_mini","model","WINBOT MINI,WINBOT MINI Beige,窗宝MINI,WINBOT MINI Grey",
"w1s","model","WINBOT W1S,W1 S,WINBOT W1 S,W1S",
"w1s_pro","model","W1S PRO,W1SPRO,WINBOT W1S PRO,WINBOT W1SPRO,W1S Pro",
"w1_pro","model","WINBOT W1PRO,W1PRO,WINBOT W1 PRO,W1 Pro,W1 PRO",
"w2","model","WINBOT W2,W2,W 2,WINBOT W 2",
"w2_pro","model","W2PRO,W2 Pro,WINBOT W2PRO,W2 PRO,WINBOT W2 PRO",
"w2_omni","model","W2OMNI,WINBOT W2 OMNI,WINBOT W2OMNI,W2 Omni,W2 OMNI",
"w2_pro_omni","model","WINBOT W2 PRO OMNI,W2 PRO OMNI,WINBOT W2PRO OMNI,W2 Pro Omni,W2PRO OMNI,WG851-11EDR",
"w2s","model","W2S,WINBOT W2 S,WINBOT W2S,W2 S",
"w2s_pro","model","WINBOT W2S PRO,WINBOT W2SPRO,W2S Pro,W2S PRO,W2SPRO",
"w2s_omni","model","WINBOT W2SOMNI,WINBOT W2S OMNI,W2S OMNI,W2S Omni,W2SOMNI,WG893-12",
"neo","model","DEEBOT NEO,NEO",
"neo_plus","model","DEEBOT NEO+,DEEBOT NEO PLUS,NEOPLUS,NEO PLUS,DEEBOT NEOPLUS,NEO+",
"mini","model","DK560/MINI,MINI,DEEBOT MINI",
"deebot_35","model","DEEBOT 35,35,D35,DEEBOT35",
"deebot_45","model","45,DEEBOT 45,DEEBOT45,D45",
"deebot_54","model","54,DEEBOT54,D54,DEEBOT 54",
"deebot_56","model","DEEBOT56,56,DEEBOT 56,D56",
"deebot_58","model","DEEBOT58,D58,DEEBOT 58,58",
"deebot_62","model","62,DEEBOT 62,DEEBOT62,D62",
"deebot_63","model","DEEBOT 63,D63,63,DEEBOT63",
"deebot_63s","model","DEEBOT63S,63S,D63S,DEEBOT 63S",
"deebot_66","model","D66,DEEBOT66,66,DEEBOT 66",
"deebot_68","model","68,DEEBOT 68,D68,DEEBOT68",
"deebot_73","model","D73,73,DEEBOT 73,DEEBOT73",
"deebot_76","model","D76,DEEBOT 76,DEEBOT76,76",
"deebot_77","model","DEEBOT 77,77,D77,DEEBOT77",
"deebot_79","model","D79,DEEBOT79,79,DEEBOT 79",
"deebot_83","model","83,DEEBOT83,D83,DEEBOT 83",
"slim","model","SLIM,DEEBOT SLIM,DA60",
"slim_marvel","model","DA610/MARVEL,SLIM MARVEL,SLIMMARVEL,DEEBOT SLIMMARVEL,DEEBOT SLIM MARVEL",
"slim2","model","SLIM 2,DA5G,SLIM2,DEEBOT SLIM2,DEEBOT SLIM 2",
"u2","model","U2,DEEBOT U2,DEEBOT U 2,U 2",
"u2_pro","model","DEEBOT U2PRO,U2PRO,U2 PRO,DEEBOT U2 PRO,U2 Pro,DGN22",
"r95","model","R 95,DEEBOT R 95,DR95,DEEBOT R95,R95",
"r95_mkii","model","R95MKII,R95 MKII,DEEBOT R95MKII,R95 MK2,DEEBOT R95 MKII",
"r96","model","R96,DEEBOT R 96,DR96,DEEBOT R96,R 96",
"r98","model","DEEBOT R98,R 98,DEEBOT R 98,DR98,R98",
"m80","model","M 80,DEEBOT M80,M80,DEEBOT M 80",
"m80_pro","model","M80 PRO,DEEBOT M80PRO,M80PRO,M80 Pro,DEEBOT M80 PRO",
"m81","model","DEEBOT M81,M 81,M81,DEEBOT M 81",
"m81_pro","model","M81 PRO,DEEBOT M81 PRO,DM81,M81PRO,M81 Pro,DEEBOT M81PRO",
"m82","model","M82,DEEBOT M82,DEEBOT M 82,DM82,M 82",
"m85","model","DT85,DM85,DT85G,M 85,DEEBOT M85,M85,DEEBOT M 85",
"m85s","model","DEEBOT M85S,M85S,M85 S,DEEBOT M85 S,DM85S",
"m87","model","M87,M 87,DEEBOT M 87,DEEBOT M87",
"m88","model","M88,DEEBOT M 88,M 88,DEEBOT M88",
"deebot_500","model","DEEBOT500,DS5G,DEEBOT 500,DC3G,500",
"deebot_501","model","DEEBOT 501,DEEBOT501,501",
"deebot_502","model","DEEBOT 502,502,DEEBOT502",
"deebot_505","model","DEEBOT 505,505,DEEBOT505",
"deebot_600","model","DEEBOT 600,DEEBOT600,DO3G,600",
